[66216:60436:0730/135853.435:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[66216:31900:0730/135853.531:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[66216:60436:0730/135853.558:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[66216:62244:0730/135856.495:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[66216:62244:0730/135856.497:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[66216:62244:0730/135856.507:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[66216:62244:0730/135856.513:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\szeyee\Documents\GitHub\GLDReadyOrNot\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[66216:35924:0730/135857.429:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[66216:35924:0730/135857.434:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[53660:17016:0730/135900.449:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-2E219A69EB5CE25E7ABA7CB059E10A60 will be ignored
[66216:21012:0730/145845.465:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/145846.469:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/145903.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=28})
[66216:21012:0730/145909.469:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/145959.481:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150004.482:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150007.486:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150008.483:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150120.497:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150129.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150208.507:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150211.505:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150212.505:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150218.506:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150239.513:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=28})
[66216:21012:0730/150244.512:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=27})
[66216:21012:0730/150253.512:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
[66216:21012:0730/150302.513:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=25})
[66216:21012:0730/150303.513:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001DC4001B6D40}, {new_limit=26})
